ccode,country,year,etype2,etype3,timing,timing_tri,sche_date,held_date,termlength,binary_system_cp,reason,need2fix,should be zero given timing =3,"shoud be zero; just ""reason"" is empty"
2,United States,1946,parliament,LH,1,0,1946-11-05,1946-11-05,2,presidentialism,0,0,,
2,United States,1948,parliament,LH,1,0,1948-11-02,1948-11-02,2,presidentialism,0,0,,
2,United States,1950,parliament,LH,1,0,1950-11-07,1950-11-07,2,presidentialism,0,0,,
2,United States,1952,parliament,LH,1,0,1952-11-04,1952-11-04,2,presidentialism,0,0,,
2,United States,1954,parliament,LH,1,0,1954-11-02,1954-11-02,2,presidentialism,0,0,,
2,United States,1956,parliament,LH,1,0,1956-11-06,1956-11-06,2,presidentialism,0,0,,
2,United States,1958,parliament,LH,1,0,1958-11-04,1958-11-04,2,presidentialism,0,0,,
2,United States,1960,parliament,LH,1,0,1960-11-08,1960-11-08,2,presidentialism,0,0,,
2,United States,1962,parliament,LH,1,0,1962-11-06,1962-11-06,2,presidentialism,0,0,,
2,United States,1964,parliament,LH,1,0,1964-11-03,1964-11-03,2,presidentialism,0,0,,
2,United States,1966,parliament,LH,1,0,1966-11-08,1966-11-08,2,presidentialism,0,0,,
2,United States,1968,parliament,LH,1,0,1968-11-05,1968-11-05,2,presidentialism,0,0,,
2,United States,1970,parliament,LH,1,0,1970-11-03,1970-11-03,2,presidentialism,0,0,,
2,United States,1972,parliament,LH,1,0,1972-11-07,1972-11-07,2,presidentialism,0,0,,
2,United States,1974,parliament,LH,1,0,1974-11-05,1974-11-05,2,presidentialism,0,0,,
2,United States,1976,parliament,LH,1,0,1976-11-02,1976-11-02,2,presidentialism,0,0,,
2,United States,1978,parliament,LH,1,0,1978-11-07,1978-11-07,2,presidentialism,0,0,,
2,United States,1980,parliament,LH,1,0,1980-11-04,1980-11-04,2,presidentialism,0,0,,
2,United States,1982,parliament,LH,1,0,1982-11-02,1982-11-02,2,presidentialism,0,0,,
2,United States,1984,parliament,LH,1,0,1984-11-06,1984-11-06,2,presidentialism,0,0,,
2,United States,1986,parliament,LH,1,0,1986-11-04,1986-11-04,2,presidentialism,0,0,,
2,United States,1988,parliament,LH,1,0,1988-11-08,1988-11-08,2,presidentialism,0,0,,
2,United States,1990,parliament,LH,1,0,1990-11-06,1990-11-06,2,presidentialism,0,0,,
2,United States,1992,parliament,LH,1,0,1992-11-03,1992-11-03,2,presidentialism,0,0,,
2,United States,1994,parliament,LH,1,0,1994-11-08,1994-11-08,2,presidentialism,0,0,,
2,United States,1996,parliament,LH,1,0,1996-11-05,1996-11-05,2,presidentialism,0,0,,
2,United States,1998,parliament,LH,1,0,1998-11-03,1998-11-03,2,presidentialism,0,0,,
2,United States,2000,parliament,LH,1,0,2000-11-07,2000-11-07,2,presidentialism,0,0,,
2,United States,2002,parliament,LH,1,0,2002-11-05,2002-11-05,2,presidentialism,0,0,,
2,United States,2004,parliament,LH,1,0,2004-11-02,2004-11-02,2,presidentialism,0,0,,
2,United States,2006,parliament,LH,1,0,2006-11-07,2006-11-07,2,presidentialism,0,0,,
2,United States,2008,parliament,LH,1,0,2008-11-04,2008-11-04,2,presidentialism,0,0,,
2,United States,2010,parliament,LH,1,0,2010-11-02,2010-11-02,2,presidentialism,0,0,,
2,United States,2012,parliament,LH,1,0,2012-11-06,2012-11-06,2,presidentialism,0,0,,
2,United States,2014,parliament,LH,1,0,2014-11-04,2014-11-04,2,presidentialism,0,0,,
2,United States,2016,parliament,LH,1,0,2016-11-08,2016-11-08,2,presidentialism,0,0,,
2,United States,2018,parliament,LH,1,0,2018-11-06,2018-11-06,2,presidentialism,0,0,,
2,United States,2020,parliament,LH,1,0,2020-11-03,2020-11-03,2,presidentialism,0,0,,
2,United States,2022,parliament,LH,1,0,2022-11-08,2020-11-08,2,presidentialism,0,0,,
2,United States,1948,president,President,1,0,1948-11-02,1948-11-02,4,presidentialism,0,0,,
2,United States,1952,president,President,1,0,1952-11-04,1952-11-04,4,presidentialism,0,0,,
2,United States,1956,president,President,1,0,1956-11-06,1956-11-06,4,presidentialism,0,0,,
2,United States,1960,president,President,1,0,1960-11-08,1960-11-08,4,presidentialism,0,0,,
2,United States,1964,president,President,1,0,1964-11-03,1964-11-03,4,presidentialism,0,0,,
2,United States,1968,president,President,1,0,1968-11-05,1968-11-05,4,presidentialism,0,0,,
2,United States,1972,president,President,1,0,1972-11-07,1972-11-07,4,presidentialism,0,0,,
2,United States,1976,president,President,1,0,1976-11-02,1976-11-02,4,presidentialism,0,0,,
2,United States,1980,president,President,1,0,1980-11-04,1980-11-04,4,presidentialism,0,0,,
2,United States,1984,president,President,1,0,1984-11-06,1984-11-06,4,presidentialism,0,0,,
2,United States,1988,president,President,1,0,1988-11-08,1988-11-08,4,presidentialism,0,0,,
2,United States,1992,president,President,1,0,1992-11-03,1992-11-03,4,presidentialism,0,0,,
2,United States,1996,president,President,1,0,1996-11-05,1996-11-05,4,presidentialism,0,0,,
2,United States,2000,president,President,1,0,2000-11-07,2000-11-07,4,presidentialism,0,0,,
2,United States,2004,president,President,1,0,2004-11-02,2004-11-02,4,presidentialism,0,0,,
2,United States,2008,president,President,1,0,2008-11-04,2008-11-04,4,presidentialism,0,0,,
2,United States,2012,president,President,1,0,2012-11-06,2012-11-06,4,presidentialism,0,0,,
2,United States,2016,president,President,1,0,2016-11-08,2016-11-08,4,presidentialism,0,0,,
2,United States,2020,president,President,1,0,2020-11-3,2020-11-3,4,presidentialism,0,0,,
20,Canada,1945,parliament,LH,2,1,1945-03-26,1945-06-11,5,parliamentarism,5,0,,
20,Canada,1949,parliament,LH,2,-1,1950-06-11,1949-06-27,5,parliamentarism,5,0,,
20,Canada,1953,parliament,LH,2,-1,1954-06-27,1953-08-10,5,parliamentarism,5,0,,
20,Canada,1957,parliament,LH,2,-1,1958-08-10,1957-06-10,5,parliamentarism,5,0,,
20,Canada,1958,parliament,LH,2,-1,1962-06-10,1958-03-31,5,parliamentarism,5,0,,
20,Canada,1962,parliament,LH,2,-1,1963-03-31,1962-06-18,5,parliamentarism,5,0,,
20,Canada,1963,parliament,LH,2,-1,1967-06-18,1963-04-08,5,parliamentarism,5,0,,
20,Canada,1965,parliament,LH,2,-1,1968-04-08,1965-11-08,5,parliamentarism,5,0,,
20,Canada,1968,parliament,LH,2,-1,1970-11-08,1968-06-25,5,parliamentarism,5,0,,
20,Canada,1972,parliament,LH,2,-1,1973-06-25,1972-10-30,5,parliamentarism,5,0,,
20,Canada,1974,parliament,LH,2,-1,1977-10-30,1974-07-08,5,parliamentarism,5,0,,
20,Canada,1979,parliament,LH,1,0,1979-05-22,1979-05-22,5,parliamentarism,0,0,,
20,Canada,1980,parliament,LH,2,-1,1984-05-22,1980-02-18,5,parliamentarism,5,0,,
20,Canada,1984,parliament,LH,2,-1,1985-02-18,1984-09-04,5,parliamentarism,5,0,,
20,Canada,1988,parliament,LH,2,-1,1989-09-04,1988-11-21,5,parliamentarism,5,0,,
20,Canada,1993,parliament,LH,1,0,1993-10-25,1993-10-25,5,parliamentarism,0,0,,
20,Canada,1997,parliament,LH,1,0,1997-06-02,1997-06-02,5,parliamentarism,0,0,,
20,Canada,2000,parliament,LH,1,0,2000-11-27,2000-11-27,5,parliamentarism,0,0,,
20,Canada,2004,parliament,LH,1,0,2004-06-28,2004-06-28,5,parliamentarism,0,0,,
20,Canada,2006,parliament,LH,2,-1,2009-10-19,2006-01-23,5,parliamentarism,5,0,,
20,Canada,2008,parliament,LH,2,-1,2011-01-23,2008-10-14,5,parliamentarism,5,0,,
20,Canada,2011,parliament,LH,1,0,2011-05-02,2011-05-02,5,parliamentarism,0,0,,
20,Canada,2015,parliament,LH,1,0,2015-10-19,2015-10-19,5,parliamentarism,0,0,,
20,Canada,2019,parliament,LH,1,0,2019-10-21,2019-10-21,5,parliamentarism,0,0,,
20,Canada,2021,parliament,LH,2,-1,2023-10-21,2021-9-20,4,parliamentarism,NA,1,,0
40,Cuba,1946,parliament,LH,1,0,1946-06-01,1946-06-01,NA,NA,0,1,,
40,Cuba,1948,parliament,LH,1,0,1948-06-01,1948-06-01,NA,NA,0,1,,
40,Cuba,1950,parliament,LH,1,0,1950-06-01,1950-06-01,NA,NA,0,1,,
40,Cuba,1954,parliament,LH,3,NA,NA,1954-11-01,NA,NA,NA,1,0,0
40,Cuba,1958,parliament,LH,1,0,1958-11-03,1958-11-03,NA,NA,0,1,,
40,Cuba,1993,parliament,LH,3,NA,NA,1993-02-24,5,parliamentarism,NA,1,0,0
40,Cuba,1998,parliament,LH,3,NA,NA,1998-01-11,5,parliamentarism,NA,1,0,0
40,Cuba,2003,parliament,LH,3,NA,NA,2003-01-19,5,parliamentarism,NA,1,0,0
40,Cuba,2008,parliament,LH,1,0,2008-01-20,2008-01-20,5,parliamentarism,0,0,,
40,Cuba,2013,parliament,LH,1,0,2013-02-03,2013-02-03,5,parliamentarism,0,0,,
40,Cuba,2018,parliament,LH,1,0,2018-03-11,2018-03-11,5,parliamentarism,0,0,,
40,Cuba,1948,president,President,1,0,1948-06-01,1948-06-01,NA,NA,0,1,,
40,Cuba,1954,president,President,3,NA,NA,1954-11-01,NA,NA,NA,1,0,0
41,Haiti,1946,parliament,LH,3,NA,NA,1946-05-12,4,parliamentarism,NA,1,0,0
41,Haiti,1950,parliament,LH,3,NA,NA,1950-10-08,4,presidentialism,NA,1,0,0
41,Haiti,1955,parliament,LH,2,1,1954-10-08,1955-01-09,4,presidentialism,5,0,,
41,Haiti,1957,parliament,LH,3,NA,NA,1957-09-22,NA,presidentialism,NA,1,0,0
41,Haiti,1961,parliament,LH,1,0,1961-04-30,1961-04-30,NA,presidentialism,0,1,,
41,Haiti,1964,parliament,LH,3,NA,NA,1964-06-14,6,presidentialism,NA,1,0,0
41,Haiti,1967,parliament,LH,2,-1,1970-06-14,1967-01-22,6,presidentialism,5,0,,
41,Haiti,1973,parliament,LH,1,0,1973-02-11,1973-02-11,NA,presidentialism,0,1,,
41,Haiti,1979,parliament,LH,1,0,1979-02-11,1979-02-11,NA,presidentialism,0,1,,
41,Haiti,1984,parliament,LH,2,-1,1985-02-11,1984-02-12,6,presidentialism,5,0,,
41,Haiti,1987,parliament,LH,2,-1,1989-02-12,1987-11-29,4,presidentialism,1,0,,
41,Haiti,1988,parliament,LH,2,-1,1991-11-29,1988-01-17,4,presidentialism,7,0,,
41,Haiti,1990,parliament,LH,2,-1,1992-01-17,1990-12-16,4,presidentialism,NA,1,,0
41,Haiti,1991,parliament,LH,2,-1,1994-12-16,1991-01-20,4,presidentialism,NA,1,,0
41,Haiti,1995,parliament,LH,2,1,1995-01-20,1995-06-25,4,presidentialism,NA,1,,0
41,Haiti,1997,parliament,LH,1,0,1997-04-06,1997-04-06,4,presidentialism,0,0,,
41,Haiti,2000,parliament,LH,2,-1,2001-04-06,2000-05-21,4,presidentialism,NA,1,,0
41,Haiti,2006,parliament,LH,2,1,2005-11-26,2006-02-07,4,presidentialism,5,0,,
41,Haiti,2010,parliament,LH,2,1,2010-02-28,2010-11-28,4,presidentialism,5,0,,
41,Haiti,2015,parliament,LH,2,1,2014-11-28,2015-08-09,4,presidentialism,NA,1,,0
41,Haiti,2019,parliament,LH,2,1,2019-10-27,NA,4,presidentialism,NA,1,,0
41,Haiti,1950,president,President,3,NA,NA,1950-10-08,5,presidentialism,NA,1,0,0
41,Haiti,1957,president,President,2,1,1955-10-08,1957-09-22,5,presidentialism,NA,1,,0
41,Haiti,1964,president,President,NA,NA,1963-09-22,NA,5,presidentialism,NA,1,,0
